show_id,equipment_id,usage_context,claim_type,claim_id,source_id,source_url,source_note
gd-1965-05-05,guitar-guild-starfire-iii,stage guitar,date_range,guild-starfire-1965-1967,source:jerry-garcia-instrument-history,https://deadessays.blogspot.com/2019/08/jerry-garcia-instrument-history-guest.html,Source range: red 1962 Guild Starfire III.
gd-1965-05-12,guitar-guild-starfire-iii,stage guitar,date_range,guild-starfire-1965-1967,source:jerry-garcia-instrument-history,https://deadessays.blogspot.com/2019/08/jerry-garcia-instrument-history-guest.html,Source range: red 1962 Guild Starfire III.
gd-1965-05-19,guitar-guild-starfire-iii,stage guitar,date_range,guild-starfire-1965-1967,source:jerry-garcia-instrument-history,https://deadessays.blogspot.com/2019/08/jerry-garcia-instrument-history-guest.html,Source range: red 1962 Guild Starfire III.
gd-1965-05-26,guitar-guild-starfire-iii,stage guitar,date_range,guild-starfire-1965-1967,source:jerry-garcia-instrument-history,https://deadessays.blogspot.com/2019/08/jerry-garcia-instrument-history-guest.html,Source range: red 1962 Guild Starfire III.
gd-1965-06-18,guitar-guild-starfire-iii,stage guitar,date_range,guild-starfire-1965-1967,source:jerry-garcia-instrument-history,https://deadessays.blogspot.com/2019/08/jerry-garcia-instrument-history-guest.html,Source range: red 1962 Guild Starfire III.
gd-1965-10-12,guitar-guild-starfire-iii,stage guitar,date_range,guild-starfire-1965-1967,source:jerry-garcia-instrument-history,https://deadessays.blogspot.com/2019/08/jerry-garcia-instrument-history-guest.html,Source range: red 1962 Guild Starfire III.
gd-1965-11-29,guitar-guild-starfire-iii,stage guitar,date_range,guild-starfire-1965-1967,source:jerry-garcia-instrument-history,https://deadessays.blogspot.com/2019/08/jerry-garcia-instrument-history-guest.html,Source range: red 1962 Guild Starfire III.
gd-1965-12-04,guitar-guild-starfire-iii,stage guitar,date_range,guild-starfire-1965-1967,source:jerry-garcia-instrument-history,https://deadessays.blogspot.com/2019/08/jerry-garcia-instrument-history-guest.html,Source range: red 1962 Guild Starfire III.
gd-1965-12-08,guitar-guild-starfire-iii,stage guitar,date_range,guild-starfire-1965-1967,source:jerry-garcia-instrument-history,https://deadessays.blogspot.com/2019/08/jerry-garcia-instrument-history-guest.html,Source range: red 1962 Guild Starfire III.
gd-1965-12-10,guitar-guild-starfire-iii,stage guitar,date_range,guild-starfire-1965-1967,source:jerry-garcia-instrument-history,https://deadessays.blogspot.com/2019/08/jerry-garcia-instrument-history-guest.html,Source range: red 1962 Guild Starfire III.
gd-1965-12-11,guitar-guild-starfire-iii,stage guitar,date_range,guild-starfire-1965-1967,source:jerry-garcia-instrument-history,https://deadessays.blogspot.com/2019/08/jerry-garcia-instrument-history-guest.html,Source range: red 1962 Guild Starfire III.
gd-1965-12-18,guitar-guild-starfire-iii,stage guitar,date_range,guild-starfire-1965-1967,source:jerry-garcia-instrument-history,https://deadessays.blogspot.com/2019/08/jerry-garcia-instrument-history-guest.html,Source range: red 1962 Guild Starfire III.
gd-1966-01-01,guitar-guild-starfire-iii,stage guitar,date_range,guild-starfire-1965-1967,source:jerry-garcia-instrument-history,https://deadessays.blogspot.com/2019/08/jerry-garcia-instrument-history-guest.html,Source range: red 1962 Guild Starfire III.
gd-1966-01-04,guitar-guild-starfire-iii,stage guitar,date_range,guild-starfire-1965-1967,source:jerry-garcia-instrument-history,https://deadessays.blogspot.com/2019/08/jerry-garcia-instrument-history-guest.html,Source range: red 1962 Guild Starfire III.
gd-1966-01-05,guitar-guild-starfire-iii,stage guitar,date_range,guild-starfire-1965-1967,source:jerry-garcia-instrument-history,https://deadessays.blogspot.com/2019/08/jerry-garcia-instrument-history-guest.html,Source range: red 1962 Guild Starfire III.
gd-1966-01-07,guitar-guild-starfire-iii,stage guitar,date_range,guild-starfire-1965-1967,source:jerry-garcia-instrument-history,https://deadessays.blogspot.com/2019/08/jerry-garcia-instrument-history-guest.html,Source range: red 1962 Guild Starfire III.
gd-1966-01-08,guitar-guild-starfire-iii,stage guitar,date_range,guild-starfire-1965-1967,source:jerry-garcia-instrument-history,https://deadessays.blogspot.com/2019/08/jerry-garcia-instrument-history-guest.html,Source range: red 1962 Guild Starfire III.
gd-1966-01-13,guitar-guild-starfire-iii,stage guitar,date_range,guild-starfire-1965-1967,source:jerry-garcia-instrument-history,https://deadessays.blogspot.com/2019/08/jerry-garcia-instrument-history-guest.html,Source range: red 1962 Guild Starfire III.
gd-1966-01-14,guitar-guild-starfire-iii,stage guitar,date_range,guild-starfire-1965-1967,source:jerry-garcia-instrument-history,https://deadessays.blogspot.com/2019/08/jerry-garcia-instrument-history-guest.html,Source range: red 1962 Guild Starfire III.
gd-1966-01-15,guitar-guild-starfire-iii,stage guitar,date_range,guild-starfire-1965-1967,source:jerry-garcia-instrument-history,https://deadessays.blogspot.com/2019/08/jerry-garcia-instrument-history-guest.html,Source range: red 1962 Guild Starfire III.
gd-1966-01-16,guitar-guild-starfire-iii,stage guitar,date_range,guild-starfire-1965-1967,source:jerry-garcia-instrument-history,https://deadessays.blogspot.com/2019/08/jerry-garcia-instrument-history-guest.html,Source range: red 1962 Guild Starfire III.
gd-1966-01-22,guitar-guild-starfire-iii,stage guitar,date_range,guild-starfire-1965-1967,source:jerry-garcia-instrument-history,https://deadessays.blogspot.com/2019/08/jerry-garcia-instrument-history-guest.html,Source range: red 1962 Guild Starfire III.
gd-1966-01-23,guitar-guild-starfire-iii,stage guitar,date_range,guild-starfire-1965-1967,source:jerry-garcia-instrument-history,https://deadessays.blogspot.com/2019/08/jerry-garcia-instrument-history-guest.html,Source range: red 1962 Guild Starfire III.
gd-1966-01-28,guitar-guild-starfire-iii,stage guitar,date_range,guild-starfire-1965-1967,source:jerry-garcia-instrument-history,https://deadessays.blogspot.com/2019/08/jerry-garcia-instrument-history-guest.html,Source range: red 1962 Guild Starfire III.
gd-1966-01-29,guitar-guild-starfire-iii,stage guitar,date_range,guild-starfire-1965-1967,source:jerry-garcia-instrument-history,https://deadessays.blogspot.com/2019/08/jerry-garcia-instrument-history-guest.html,Source range: red 1962 Guild Starfire III.
gd-1966-02-01,guitar-guild-starfire-iii,stage guitar,date_range,guild-starfire-1965-1967,source:jerry-garcia-instrument-history,https://deadessays.blogspot.com/2019/08/jerry-garcia-instrument-history-guest.html,Source range: red 1962 Guild Starfire III.
gd-1966-02-06,guitar-guild-starfire-iii,stage guitar,date_range,guild-starfire-1965-1967,source:jerry-garcia-instrument-history,https://deadessays.blogspot.com/2019/08/jerry-garcia-instrument-history-guest.html,Source range: red 1962 Guild Starfire III.
gd-1966-02-12,guitar-guild-starfire-iii,stage guitar,date_range,guild-starfire-1965-1967,source:jerry-garcia-instrument-history,https://deadessays.blogspot.com/2019/08/jerry-garcia-instrument-history-guest.html,Source range: red 1962 Guild Starfire III.
gd-1966-02-25,guitar-guild-starfire-iii,stage guitar,date_range,guild-starfire-1965-1967,source:jerry-garcia-instrument-history,https://deadessays.blogspot.com/2019/08/jerry-garcia-instrument-history-guest.html,Source range: red 1962 Guild Starfire III.
gd-1966-03-03-0,guitar-guild-starfire-iii,stage guitar,date_range,guild-starfire-1965-1967,source:jerry-garcia-instrument-history,https://deadessays.blogspot.com/2019/08/jerry-garcia-instrument-history-guest.html,Source range: red 1962 Guild Starfire III.
gd-1966-03-03-1,guitar-guild-starfire-iii,stage guitar,date_range,guild-starfire-1965-1967,source:jerry-garcia-instrument-history,https://deadessays.blogspot.com/2019/08/jerry-garcia-instrument-history-guest.html,Source range: red 1962 Guild Starfire III.
gd-1966-03-04-1,guitar-guild-starfire-iii,stage guitar,date_range,guild-starfire-1965-1967,source:jerry-garcia-instrument-history,https://deadessays.blogspot.com/2019/08/jerry-garcia-instrument-history-guest.html,Source range: red 1962 Guild Starfire III.
gd-1966-03-12,guitar-guild-starfire-iii,stage guitar,date_range,guild-starfire-1965-1967,source:jerry-garcia-instrument-history,https://deadessays.blogspot.com/2019/08/jerry-garcia-instrument-history-guest.html,Source range: red 1962 Guild Starfire III.
gd-1966-03-19,guitar-guild-starfire-iii,stage guitar,date_range,guild-starfire-1965-1967,source:jerry-garcia-instrument-history,https://deadessays.blogspot.com/2019/08/jerry-garcia-instrument-history-guest.html,Source range: red 1962 Guild Starfire III.
gd-1966-03-25,guitar-guild-starfire-iii,stage guitar,date_range,guild-starfire-1965-1967,source:jerry-garcia-instrument-history,https://deadessays.blogspot.com/2019/08/jerry-garcia-instrument-history-guest.html,Source range: red 1962 Guild Starfire III.
gd-1966-04-22,guitar-guild-starfire-iii,stage guitar,date_range,guild-starfire-1965-1967,source:jerry-garcia-instrument-history,https://deadessays.blogspot.com/2019/08/jerry-garcia-instrument-history-guest.html,Source range: red 1962 Guild Starfire III.
gd-1966-04-23,guitar-guild-starfire-iii,stage guitar,date_range,guild-starfire-1965-1967,source:jerry-garcia-instrument-history,https://deadessays.blogspot.com/2019/08/jerry-garcia-instrument-history-guest.html,Source range: red 1962 Guild Starfire III.
gd-1966-04-24,guitar-guild-starfire-iii,stage guitar,date_range,guild-starfire-1965-1967,source:jerry-garcia-instrument-history,https://deadessays.blogspot.com/2019/08/jerry-garcia-instrument-history-guest.html,Source range: red 1962 Guild Starfire III.
gd-1966-05-07,guitar-guild-starfire-iii,stage guitar,date_range,guild-starfire-1965-1967,source:jerry-garcia-instrument-history,https://deadessays.blogspot.com/2019/08/jerry-garcia-instrument-history-guest.html,Source range: red 1962 Guild Starfire III.
gd-1966-05-14,guitar-guild-starfire-iii,stage guitar,date_range,guild-starfire-1965-1967,source:jerry-garcia-instrument-history,https://deadessays.blogspot.com/2019/08/jerry-garcia-instrument-history-guest.html,Source range: red 1962 Guild Starfire III.
gd-1966-05-19,guitar-guild-starfire-iii,stage guitar,date_range,guild-starfire-1965-1967,source:jerry-garcia-instrument-history,https://deadessays.blogspot.com/2019/08/jerry-garcia-instrument-history-guest.html,Source range: red 1962 Guild Starfire III.
gd-1966-05-22,guitar-guild-starfire-iii,stage guitar,date_range,guild-starfire-1965-1967,source:jerry-garcia-instrument-history,https://deadessays.blogspot.com/2019/08/jerry-garcia-instrument-history-guest.html,Source range: red 1962 Guild Starfire III.
gd-1966-05-28,guitar-guild-starfire-iii,stage guitar,date_range,guild-starfire-1965-1967,source:jerry-garcia-instrument-history,https://deadessays.blogspot.com/2019/08/jerry-garcia-instrument-history-guest.html,Source range: red 1962 Guild Starfire III.
gd-1966-05-29,guitar-guild-starfire-iii,stage guitar,date_range,guild-starfire-1965-1967,source:jerry-garcia-instrument-history,https://deadessays.blogspot.com/2019/08/jerry-garcia-instrument-history-guest.html,Source range: red 1962 Guild Starfire III.
gd-1966-06-03,guitar-guild-starfire-iii,stage guitar,date_range,guild-starfire-1965-1967,source:jerry-garcia-instrument-history,https://deadessays.blogspot.com/2019/08/jerry-garcia-instrument-history-guest.html,Source range: red 1962 Guild Starfire III.
gd-1966-06-04,guitar-guild-starfire-iii,stage guitar,date_range,guild-starfire-1965-1967,source:jerry-garcia-instrument-history,https://deadessays.blogspot.com/2019/08/jerry-garcia-instrument-history-guest.html,Source range: red 1962 Guild Starfire III.
